电影名,电影年份,电影封面,导演,得分,评价人数,精彩评论
神偷奶爸 Despicable Me,(2010),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792776858.jpg,皮埃尔·柯芬 / 克里斯·雷纳德,8.7,960189人评价,Mr. I Don't Care其实也有Care的时候。
茶馆,(1982),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2528965424.jpg,谢添,9.6,153749人评价,null
告白,(2010),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p689520756.jpg,中岛哲也,8.8,679899人评价,没有一人完全善，也没有一人完全恶。
玛丽和马克思 Mary and Max,(2009),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p488255145.jpg,亚当·艾略特,9.0,425612人评价,你是我最好的朋友，你是我唯一的朋友 。
哪吒闹海,(1979),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2532803206.jpg,王树忱 / 严定宪 / 徐景达,9.2,264472人评价,想你时你在闹海。
大鱼 Big Fish,(2003),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p692813374.jpg,蒂姆·波顿,8.8,575463人评价,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
九品芝麻官,(1994),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p648370300.jpg,王晶,8.7,694216人评价,null
色，戒,(2007),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p453716305.jpg,李安,8.7,827724人评价,假戏真情，爱欲深海
喜宴 囍宴,(1993),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2249048907.jpg,李安,9.0,370669人评价,中国家庭的喜怒哀乐忍。
模仿游戏 The Imitation Game,(2014),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2255040492.jpg,莫滕·泰杜姆,8.8,657556人评价,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
头号玩家 Ready Player One,(2018),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2516578307.jpg,史蒂文·斯皮尔伯格,8.7,1386827人评价,写给影迷，动漫迷和游戏迷的一封情书。
射雕英雄传之东成西就 射鵰英雄傳之東成西就,(1993),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2609063922.jpg,刘镇伟,8.7,647202人评价,百看不厌。
花样年华 花樣年華,(2000),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910828286.jpg,王家卫,8.8,619750人评价,偷情本没有这样美。
我是山姆 I Am Sam,(2001),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p652417775.jpg,杰茜·尼尔森,9.0,343335人评价,爱并不需要智商 。
阳光姐妹淘 써니,(2011),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1374786017.jpg,姜炯哲,8.8,596128人评价,再多各自牛逼的时光，也比不上一起傻逼的岁月。
头脑特工队 Inside Out,(2015),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2896589345.jpg,彼特·道格特 / 罗纳尔多·德尔·卡门,8.8,626947人评价,愿我们都不用长大，每一座城堡都能永远存在。
血战钢锯岭 Hacksaw Ridge,(2016),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2398141939.jpg,梅尔·吉布森,8.7,792410人评价,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
七武士 七人の侍,(1954),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2215886505.jpg,黑泽明,9.3,201963人评价,时代悲歌。
恐怖直播 더 테러 라이브,(2013),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2016930906.jpg,金秉祐,8.7,661707人评价,恐怖分子的“秋菊打官司”。
惊魂记 Psycho,(1960),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1021883305.jpg,阿尔弗雷德·希区柯克,9.0,302466人评价,故事的反转与反转，分裂电影的始祖。
黑客帝国3：矩阵革命 The Matrix Revolutions,(2003),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p443461818.jpg,拉娜·沃卓斯基 / 莉莉·沃卓斯基,8.8,453282人评价,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
你的名字。 君の名は。,(2016),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2395733377.jpg,新海诚,8.5,1429673人评价,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
电锯惊魂 Saw,(2004),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p726839485.jpg,温子仁,8.7,544227人评价,真相就在眼前。
"三块广告牌 Three Billboards Outside Ebbing, Missouri",(2017),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2896590555.jpg,马丁·麦克唐纳,8.7,831265人评价,怼天怼地，你走后，她与世界为敌。
达拉斯买家俱乐部 Dallas Buyers Club,(2013),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2166160837.jpg,让-马克·瓦雷,8.8,459073人评价,Jared Leto的腿比女人还美！
疯狂原始人 The Croods,(2013),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1867084027.jpg,柯克·德·米科 / 克里斯·桑德斯,8.7,849816人评价,老少皆宜，这就是好莱坞动画的魅力。
心迷宫,(2014),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2276780256.jpg,忻钰坤,8.7,531978人评价,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
谍影重重3 The Bourne Ultimatum,(2007),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792223507.jpg,保罗·格林格拉斯,8.8,424988人评价,像吃了苏打饼一样干脆的电影。
英雄本色,(1986),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2504997087.jpg,吴宇森,8.6,549901人评价,英雄泪短，兄弟情长。
上帝之城 Cidade de Deus,(2002),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p455677490.jpg,费尔南多·梅里尔斯 / 卡迪亚·兰德,9.0,305043人评价,被上帝抛弃了的上帝之城。
风之谷 風の谷のナウシカ,(1984),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1917567652.jpg,宫崎骏,8.9,358951人评价,动画片的圣经。
纵横四海 緃横四海,(1991),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2597918718.jpg,吴宇森,8.8,432486人评价,香港浪漫主义警匪动作片的巅峰之作。
卢旺达饭店 Hotel Rwanda,(2004),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p470419493.jpg,特瑞·乔治,8.9,335007人评价,当这个世界闭上双眼，他却敞开了怀抱。
海街日记 海街diary,(2015),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2603364117.jpg,是枝裕和,8.8,456677人评价,是枝裕和的家庭习作。
爱在午夜降临前 Before Midnight,(2013),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2074715729.jpg,理查德·林克莱特,8.9,411126人评价,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
绿里奇迹 The Green Mile,(1999),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p767586451.jpg,弗兰克·德拉邦特,8.9,336583人评价,天使暂时离开。
记忆碎片 Memento,(2000),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p641688453.jpg,克里斯托弗·诺兰,8.7,612830人评价,一个针管引发的血案。
小丑 Joker,(2019),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2567198874.jpg,托德·菲利普斯,8.7,1021961人评价,null
疯狂的石头,(2006),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p712241453.jpg,宁浩,8.6,835431人评价,中国版《两杆大烟枪》。
背靠背，脸对脸,(1994),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2505048077.jpg,黄建新 / 杨亚洲,9.5,138735人评价,null
雨中曲 Singin' in the Rain,(1952),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1612355875.jpg,斯坦利·多南 / 吉恩·凯利,9.1,230848人评价,骨灰级歌舞片。
岁月神偷 歲月神偷,(2010),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p456666151.jpg,罗启锐,8.7,579443人评价,岁月流逝，来日可追。
2001太空漫游 2001: A Space Odyssey,(1968),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2560717825.jpg,斯坦利·库布里克,8.9,337771人评价,现代科幻电影的开山之作，最伟大导演的最伟大影片。
心灵奇旅 Soul,(2020),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2896589788.jpg,彼特·道格特 / 凯普·鲍尔斯,8.7,999528人评价,null
忠犬八公物语 ハチ公物語,(1987),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2603716224.jpg,神山征二郎,9.2,198819人评价,养狗三日，便会对你终其一生。
荒蛮故事 Relatos salvajes,(2014),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2584519452.jpg,达米安·斯兹弗隆,8.8,450120人评价,始于荒诞，止于更荒诞。
无间道2 無間道II,(2003),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p958008320.jpg,刘伟强 / 麦兆辉,8.7,488810人评价,null
小偷家族 万引き家族,(2018),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2530599636.jpg,是枝裕和,8.7,821594人评价,我们组成了家。
无敌破坏王 Wreck-It Ralph,(2012),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2896589589.jpg,瑞奇·摩尔,8.7,548972人评价,迪士尼和皮克斯拿错剧本的产物。
爆裂鼓手 Whiplash,(2014),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2220776342.jpg,达米恩·查泽雷,8.7,597600人评价,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
冰川时代 Ice Age,(2002),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2896589259.jpg,卡洛斯·沙尔丹哈 / 克里斯·韦奇,8.6,624620人评价,松鼠才是角儿。
恐怖游轮 Triangle,(2009),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p462470694.jpg,克里斯托弗·史密斯,8.5,879412人评价,不要企图在重复中寻找已经失去的爱。
贫民窟的百万富翁 Slumdog Millionaire,(2008),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2434249040.jpg,丹尼·博伊尔 / 洛芙琳·坦丹,8.6,753811人评价,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
牯岭街少年杀人事件 牯嶺街少年殺人事件,(1991),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p848381236.jpg,杨德昌,8.9,307639人评价,弱者送给弱者的一刀。
东邪西毒 東邪西毒,(1994),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1982176012.jpg,王家卫,8.6,583937人评价,电影诗。
魔女宅急便 魔女の宅急便,(1989),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p456676352.jpg,宫崎骏,8.7,467046人评价,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
遗愿清单 The Bucket List,(2007),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2676812053.jpg,罗伯·莱纳,8.7,471052人评价,用剩余不多的时间，去燃烧整个生命。
东京教父 東京ゴッドファーザーズ,(2003),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p456703618.jpg,今敏,9.0,236693人评价,null
大佛普拉斯,(2017),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2505928032.jpg,黄信尧,8.7,469154人评价,人们可以登上月球，却永远无法探索人们内心的宇宙。
你看起来好像很好吃 おまえうまそうだな,(2010),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p709670262.jpg,藤森雅也,8.9,338116人评价,感情不分食草或者食肉。
真爱至上 Love Actually,(2003),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p475600770.jpg,理查德·柯蒂斯,8.6,739465人评价,爱，是个动词。
可可西里,(2004),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2363208684.jpg,陆川,8.9,308305人评价,坚硬的信仰。
黑天鹅 Black Swan,(2010),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2896603000.jpg,达伦·阿伦诺夫斯基,8.6,788122人评价,黑暗之美。
城市之光 City Lights,(1931),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2170238828.jpg,查理·卓别林,9.3,149890人评价,永远的小人物，伟大的卓别林。
源代码 Source Code,(2011),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p988260245.jpg,邓肯·琼斯,8.5,845976人评价,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
海边的曼彻斯特 Manchester by the Sea,(2016),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2421855655.jpg,肯尼思·洛纳根,8.6,554624人评价,我们都有权利不与自己的过去和解。
雨人 Rain Man,(1988),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2353324612.jpg,巴瑞·莱文森,8.7,409179人评价,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
波西米亚狂想曲 Bohemian Rhapsody,(2018),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2549558913.jpg,布莱恩·辛格,8.6,615383人评价,null
初恋这件小事 สิ่งเล็กเล็กที่เรียกว่า...รัก,(2010),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1505312273.jpg,普特鹏·普罗萨卡·那·萨克那卡林 / 华森·波克彭,8.5,988944人评价,黑小鸭速效美白记。
恋恋笔记本 The Notebook,(2004),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p483604864.jpg,尼克·卡萨维蒂,8.5,680933人评价,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。
人工智能 A.I. Artificial Intelligence,(2001),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792257137.jpg,史蒂文·斯皮尔伯格,8.7,453603人评价,对爱的执着，可以超越一切。
青蛇,(1993),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2570901292.jpg,徐克,8.6,535187人评价,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
虎口脱险 La grande vadrouille,(1966),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2399597512.jpg,热拉尔·乌里,8.9,261780人评价,永远看不腻的喜剧。
末路狂花 Thelma & Louise,(1991),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910924635.jpg,雷德利·斯科特,8.9,265096人评价,没有了退路，只好飞向自由。
终结者2：审判日 Terminator 2: Judgment Day,(1991),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910909085.jpg,詹姆斯·卡梅隆,8.8,346673人评价,少见的超越首部的续集，动作片中的经典。
疯狂的麦克斯4：狂暴之路 Mad Max: Fury Road,(2015),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2236181653.jpg,乔治·米勒,8.7,538672人评价,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
罗生门 羅生門,(1950),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1598883511.jpg,黑泽明,8.8,320054人评价,人生的N种可能性。
新龙门客栈 新龍門客棧,(1992),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1421018669.jpg,李惠民,8.7,451739人评价,嬉笑怒骂，调风动月。
无耻混蛋 Inglourious Basterds,(2009),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1086394013.jpg,昆汀·塔伦蒂诺,8.7,487091人评价,昆汀同学越来越变态了，比北野武还杜琪峰。
千钧一发 Gattaca,(1997),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2195672555.jpg,安德鲁·尼科尔,8.8,305435人评价,一部能引人思考的科幻励志片。
崖上的波妞 崖の上のポニョ,(2008),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2627847859.jpg,宫崎骏,8.6,506992人评价,null
萤火虫之墓 火垂るの墓,(1988),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2237136718.jpg,高畑勋,8.7,408737人评价,幸福是生生不息，却难以触及的远。
芙蓉镇,(1987),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2174804034.jpg,谢晋,9.3,144867人评价,null
花束般的恋爱 花束みたいな恋をした,(2021),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2868462052.jpg,土井裕泰,8.6,644112人评价,null
彗星来的那一夜 Coherence,(2013),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2187896734.jpg,詹姆斯·沃德·布柯特,8.6,592304人评价,小成本大魅力。
奇迹男孩 Wonder,(2017),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2507709428.jpg,斯蒂芬·卓博斯基,8.6,557692人评价,世界不完美，爱会有奇迹。
爱乐之城 La La Land,(2016),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2395517414.jpg,达米恩·查泽雷,8.4,915081人评价,null
黑客帝国2：重装上阵 The Matrix Reloaded,(2003),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p443461390.jpg,拉娜·沃卓斯基 / 莉莉·沃卓斯基,8.7,412177人评价,一个精彩的世界观正在缓缓建立。
二十二,(2015),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2457609817.jpg,郭柯,8.7,294776人评价,有一些东西不应该被遗忘。
哈利·波特与死亡圣器(上) Harry Potter and the Deathly Hallows: Part 1,(2010),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p721429854.jpg,大卫·叶茨,8.5,588934人评价,最忠于原著的一部。
血钻 Blood Diamond,(2006),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1244017073.jpg,爱德华·兹威克,8.7,385602人评价,每个美丽事物背后都是滴血的现实。
战争之王 Lord of War,(2005),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792282381.jpg,安德鲁·尼科尔,8.7,374516人评价,做一颗让别人需要你的棋子。
步履不停 歩いても 歩いても,(2008),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2375245718.jpg,是枝裕和,8.8,283917人评价,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
火星救援 The Martian,(2015),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2896589468.jpg,雷德利·斯科特,8.5,741641人评价,null
房间 Room,(2015),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2259715855.jpg,伦尼·阿伯拉罕森,8.8,371847人评价,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
魂断蓝桥 Waterloo Bridge,(1940),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2351134499.jpg,茂文·勒鲁瓦,8.8,282850人评价,中国式内在的美国电影。
千年女优 千年女優,(2001),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2215102596.jpg,今敏,8.8,273963人评价,爱情是一场没有尽头的虚幻追逐。
谍影重重2 The Bourne Supremacy,(2004),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p667644866.jpg,保罗·格林格拉斯,8.7,358629人评价,谁说王家卫镜头很晃？
白日梦想家 The Secret Life of Walter Mitty,(2013),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2160195181.jpg,本·斯蒂勒,8.6,497700人评价,null
哈利·波特与凤凰社 Harry Potter and the Order of the Phoenix,(2007),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p443403700.jpg,大卫·叶茨,8.5,583302人评价,null
弱点 The Blind Side,(2009),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2577248102.jpg,约翰·李·汉考克,8.7,315294人评价,拍掉身上的悲伤，从今天开始重新踏上追梦之旅。
蜘蛛侠：平行宇宙 Spider-Man: Into the Spider-Verse,(2018),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2535851348.jpg,鲍勃·佩尔西凯蒂 / 彼得·拉姆齐 / 罗德尼·罗斯曼,8.6,678020人评价,null
谍影重重 The Bourne Identity,(2002),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1597183981.jpg,道格·里曼,8.6,434771人评价,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
阿飞正传 阿飛正傳,(1990),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2525770523.jpg,王家卫,8.5,518221人评价,王家卫是一种风格，张国荣是一个代表。
朗读者 The Reader,(2008),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1140984198.jpg,史蒂芬·戴德利,8.6,458180人评价,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。
燃情岁月 Legends of the Fall,(1994),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2797313535.jpg,爱德华·兹威克,8.7,290964人评价,传奇，不是每个人都可以拥有。
再次出发之纽约遇见你 Begin Again,(2013),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2250287733.jpg,约翰·卡尼,8.6,432923人评价,爱我就给我看你的播放列表。
高山下的花环,(1984),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2319879389.jpg,谢晋,9.5,90879人评价,null
大红灯笼高高挂,(1991),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1254404823.jpg,张艺谋,8.8,280402人评价,null
