电影名,电影年份,电影封面,导演,得分,评价人数,精彩评论
我不是药神,(2018),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg,文牧野,9.0,2137275人评价,对我们国家而言，这样的电影多一部是一部。
乱世佳人 Gone with the Wind,(1939),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg,维克多·弗莱明 / 乔治·库克 / 山姆·伍德,9.3,703177人评价,Tomorrow is another day.
飞屋环游记 Up,(2009),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2896589700.jpg,彼特·道格特 / 鲍勃·彼德森,9.1,1347549人评价,最后那些最无聊的事情，才是最值得怀念的。
素媛 소원,(2013),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg,李濬益,9.3,698474人评价,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
哈尔的移动城堡 ハウルの動く城,(2004),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.jpg,宫崎骏,9.1,1044809人评价,带着心爱的人在天空飞翔。
十二怒汉 12 Angry Men,(1957),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg,西德尼·吕美特,9.4,500989人评价,1957年的理想主义。
何以为家 كفرناحوم,(2018),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg,娜丁·拉巴基,9.1,1061068人评价,凝视卑弱生命，用电影改变命运。
摔跤吧！爸爸 Dangal,(2016),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2401676338.jpg,涅提·蒂瓦里,9.0,1591671人评价,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
让子弹飞,(2010),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg,姜文,9.0,1726631人评价,你给我翻译翻译，神马叫做TMD的惊喜。
猫鼠游戏 Catch Me If You Can,(2002),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg,史蒂文·斯皮尔伯格,9.1,1048558人评价,骗子大师和执著警探的你追我跑故事。
天空之城 天空の城ラピュタ,(1986),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2892380420.jpg,宫崎骏,9.2,891547人评价,对天空的追逐，永不停止。
鬼子来了,(2000),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.jpg,姜文,9.3,637339人评价,对敌人的仁慈，就是对自己残忍。
少年派的奇幻漂流 Life of Pi,(2012),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2896590696.jpg,李安,9.1,1367644人评价,瑰丽壮观、无人能及的冒险之旅。
海蒂和爷爷 Heidi,(2015),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg,阿兰·葛斯彭纳,9.3,634429人评价,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
钢琴家 The Pianist,(2002),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1381339291.jpg,罗曼·波兰斯基,9.3,654580人评价,音乐能化解仇恨。
大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒,(1995),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg,刘镇伟,9.0,1238885人评价,旷古烁今。
指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,(2002),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2640236255.jpg,彼得·杰克逊,9.2,766578人评价,承前启后的史诗篇章。
闻香识女人 Scent of a Woman,(1992),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg,马丁·布莱斯特,9.1,903437人评价,史上最美的探戈。
死亡诗社 Dead Poets Society,(1989),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575465690.jpg,彼得·威尔,9.2,743329人评价,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
绿皮书 Green Book,(2018),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2531065411.jpg,彼得·法雷里,8.9,1678857人评价,去除成见，需要勇气。
罗马假日 Roman Holiday,(1953),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg,威廉·惠勒,9.1,963100人评价,爱情哪怕只有一天。
大闹天宫,(1961),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg,万籁鸣,9.4,446890人评价,经典之作，历久弥新。
天堂电影院 Nuovo Cinema Paradiso,(1988),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2653054340.jpg,朱塞佩·托纳多雷,9.2,687096人评价,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
