from_url,to_url
https://movie.douban.com/tv/,https://www.douban.com/jobs
https://movie.douban.com/tv/,https://movie.douban.com/review/best/
https://fm.douban.com/?from_=shire_top_nav,http://image.kuwo.cn/star/www/icp.pdf
https://fm.douban.com/?from_=shire_top_nav,https://doubanfm.kuwo.cn/m/protocol.html?p_key=serviceLicenseProtocol
https://fm.douban.com/?from_=shire_top_nav,https://doubanfm.kuwo.cn/m/protocol.html?p_key=privacy
https://fm.douban.com/?from_=shire_top_nav,http://image.kuwo.cn/star/www/wenwangwen.pdf
https://fm.douban.com/?from_=shire_top_nav,http://www.beian.gov.cn/portal/registerSystemInfo?recordcode=11010502030216
https://fm.douban.com/?from_=shire_top_nav,http://beian.miit.gov.cn/state/outPortal/loginPortal.action
https://fm.douban.com/?from_=shire_top_nav,https://h5static.kuwo.cn/www/kw-www/shiting1.pdf
https://read.douban.com/?dcs=top-nav&dcm=douban,https://weibo.com/readdouban
https://read.douban.com/?dcs=top-nav&dcm=douban,https://read.douban.com/
https://read.douban.com/?dcs=top-nav&dcm=douban,https://read.douban.com/faq
https://read.douban.com/?dcs=top-nav&dcm=douban,https://read.douban.com/contact
https://read.douban.com/?dcs=top-nav&dcm=douban,https://static.arkread.com/ark/pics/license/ark-reading-publications-business-license-mark.781738be.jpg
https://read.douban.com/?dcs=top-nav&dcm=douban,https://read.douban.com/submit
https://read.douban.com/?dcs=top-nav&dcm=douban,https://static.arkread.com/ark/pics/license/ark-reading-business-license-mark.a9d08a12.jpg
https://read.douban.com/?dcs=top-nav&dcm=douban,https://read.douban.com/app/
https://read.douban.com/?dcs=top-nav&dcm=douban,https://read.douban.com/careers
https://read.douban.com/?dcs=top-nav&dcm=douban,https://read.douban.com/accounts/passport/login?source=ark
https://read.douban.com/?dcs=top-nav&dcm=douban,https://www.douban.com/about?topic=licence
https://read.douban.com/?dcs=top-nav&dcm=douban,http://www.beian.miit.gov.cn
https://accounts.douban.com/passport/login?source=movie,https://accounts.douban.com/
https://accounts.douban.com/passport/login?source=movie,https://help.douban.com/account?app=1
https://accounts.douban.com/passport/login?source=movie,https://www.douban.com/doubanapp/app?channel=nimingye
https://accounts.douban.com/passport/login?source=movie,https://www.douban.com/accounts/connect/wechat/?from=movie&redir=https%3A//www.douban.com
https://accounts.douban.com/passport/login?source=movie,https://www.douban.com/accounts/connect/qq/?from=movie&redir=https%3A//www.douban.com
